behav,b_id,spot,timestamp,temp,humid,prep,pres,w_sp,dept
4.0,51550,2,1515283440,10.6,8.48,0.02,100.18,2.64,3
4.0,51087,1,1515283500,10.6,8.48,0.02,100.18,2.64,0
4.0,50911,2,1515284460,10.6,8.48,0.02,100.18,2.64,0
4.0,51086,1,1515285180,10.6,8.48,0.02,100.18,2.64,9
4.0,51548,2,1515286140,10.6,8.48,0.02,100.18,2.64,3
4.0,51547,2,1515286800,10.43,8.42,0.03,100.17,2.8,3
4.0,51550,2,1515288240,10.43,8.42,0.03,100.17,2.8,3
4.0,51548,2,1515288300,10.43,8.42,0.03,100.17,2.8,3
4.0,51549,2,1515288540,10.43,8.42,0.03,100.17,2.8,3
4.0,50339,2,1515289020,10.43,8.42,0.03,100.17,2.8,2
4.0,50349,2,1515289260,10.43,8.42,0.03,100.17,2.8,4
4.0,50911,2,1515289380,10.43,8.42,0.03,100.17,2.8,0
4.0,51547,2,1515289560,10.43,8.42,0.03,100.17,2.8,3
4.0,51550,2,1515289620,10.43,8.42,0.03,100.17,2.8,3
4.0,51548,2,1515290460,10.19,8.36,0.03,100.17,2.96,3
4.0,50913,2,1515290820,10.19,8.36,0.03,100.17,2.96,3
4.0,50911,2,1515291000,10.19,8.36,0.03,100.17,2.96,0
4.0,51549,2,1515291180,10.19,8.36,0.03,100.17,2.96,3
4.0,51550,2,1515291240,10.19,8.36,0.03,100.17,2.96,3
4.0,51547,2,1515292440,10.19,8.36,0.03,100.17,2.96,3
4.0,51548,2,1515292800,10.19,8.36,0.03,100.17,2.96,3
4.0,51547,2,1515294960,9.9,8.24,0.03,100.19,3.04,3
4.0,50349,2,1515295320,9.9,8.24,0.03,100.19,3.04,4
4.0,51548,2,1515296160,9.9,8.24,0.03,100.19,3.04,3
4.0,51549,2,1515296580,9.9,8.24,0.03,100.19,3.04,3
3.0,50911,2,1515297300,9.9,8.24,0.03,100.19,3.04,0
4.0,51550,2,1515297600,10.83,8.36,0.03,100.2,2.8,3
4.0,51547,2,1515298140,10.83,8.36,0.03,100.2,2.8,3
4.0,51549,2,1515298500,10.83,8.36,0.03,100.2,2.8,3
4.0,50349,2,1515298560,10.83,8.36,0.03,100.2,2.8,4
4.0,51548,2,1515299100,10.83,8.36,0.03,100.2,2.8,3
4.0,50349,2,1515299760,10.83,8.36,0.03,100.2,2.8,4
4.0,50911,2,1515300480,10.83,8.36,0.03,100.2,2.8,0
4.0,51550,2,1515300660,10.83,8.36,0.03,100.2,2.8,3
4.0,51549,2,1515301260,12.64,8.67,0.01,100.24,3.32,3
4.0,51550,2,1515302040,12.64,8.67,0.01,100.24,3.32,3
4.0,51548,2,1515302760,12.64,8.67,0.01,100.24,3.32,3
4.0,50269,2,1515303360,12.64,8.67,0.01,100.24,3.32,6
4.0,51548,3,1515305760,13.57,8.54,0.0,100.24,3.3,3
4.0,50269,1,1515305820,13.57,8.54,0.0,100.24,3.3,6
4.0,50269,2,1515305880,13.57,8.54,0.0,100.24,3.3,6
4.0,51550,2,1515307260,13.57,8.54,0.0,100.24,3.3,3
4.0,51549,2,1515309360,14.62,8.24,0.0,100.24,3.09,3
4.0,51548,2,1515310380,14.62,8.24,0.0,100.24,3.09,3
4.0,51550,2,1515310440,14.62,8.24,0.0,100.24,3.09,3
4.0,50911,2,1515310740,14.62,8.24,0.0,100.24,3.09,0
4.0,51549,2,1515312000,15.71,8.0,0.0,100.22,2.93,3
4.0,50349,2,1515313200,15.71,8.0,0.0,100.22,2.93,4
3.0,51547,2,1515316140,16.72,8.0,0.0,100.21,2.99,3
3.0,51547,2,1515317640,16.72,8.0,0.0,100.21,2.99,3
4.0,51549,2,1515318480,16.72,8.0,0.0,100.21,2.99,3
4.0,51547,2,1515319320,17.62,8.18,0.0,100.2,3.11,3
4.0,50911,2,1515319620,17.62,8.18,0.0,100.2,3.11,0
4.0,51549,2,1515319680,17.62,8.18,0.0,100.2,3.11,3
4.0,50908,1,1515320880,17.62,8.18,0.0,100.2,3.11,9
4.0,51549,2,1515321360,17.62,8.18,0.0,100.2,3.11,3
4.0,50911,2,1515321480,17.62,8.18,0.0,100.2,3.11,0
4.0,50272,1,1515321540,17.62,8.18,0.0,100.2,3.11,2
4.0,51550,2,1515321840,17.62,8.18,0.0,100.2,3.11,3
3.0,51550,2,1515323220,18.42,8.48,0.0,100.19,3.19,3
4.0,50911,2,1515323220,18.42,8.48,0.0,100.19,3.19,0
4.0,50913,2,1515323340,18.42,8.48,0.0,100.19,3.19,3
4.0,51547,2,1515324120,18.42,8.48,0.0,100.19,3.19,3
4.0,50910,1,1515324300,18.42,8.48,0.0,100.19,3.19,5
4.0,51549,2,1515324960,18.42,8.48,0.0,100.19,3.19,3
1.0,51088,1,1515325260,18.42,8.48,0.0,100.19,3.19,9
4.0,50911,2,1515325380,18.42,8.48,0.0,100.19,3.19,0
4.0,50240,2,1515325560,18.42,8.48,0.0,100.19,3.19,9
4.0,50349,2,1515325860,18.42,8.48,0.0,100.19,3.19,4
4.0,50266,1,1515326040,18.42,8.48,0.0,100.19,3.19,1
4.0,51547,2,1515326160,18.42,8.48,0.0,100.19,3.19,3
4.0,51549,2,1515326820,19.08,8.73,0.0,100.17,3.17,3
4.0,50911,1,1515326940,19.08,8.73,0.0,100.17,3.17,0
4.0,50349,2,1515327060,19.08,8.73,0.0,100.17,3.17,4
4.0,51550,2,1515327060,19.08,8.73,0.0,100.17,3.17,3
4.0,51547,2,1515327420,19.08,8.73,0.0,100.17,3.17,3
4.0,50841,1,1515327600,19.08,8.73,0.0,100.17,3.17,2
4.0,51088,2,1515328440,19.08,8.73,0.0,100.17,3.17,9
4.0,51087,2,1515328440,19.08,8.73,0.0,100.17,3.17,0
3.0,50267,2,1515328740,19.08,8.73,0.0,100.17,3.17,0
4.0,51547,2,1515329040,19.08,8.73,0.0,100.17,3.17,3
4.0,51548,2,1515329100,19.08,8.73,0.0,100.17,3.17,3
4.0,50316,1,1515329220,19.08,8.73,0.0,100.17,3.17,6
3.0,51550,2,1515329340,19.08,8.73,0.0,100.17,3.17,3
3.0,51088,1,1515330300,19.6,8.91,0.0,100.15,3.12,9
4.0,50267,1,1515330660,19.6,8.91,0.0,100.15,3.12,0
4.0,51087,1,1515331500,19.6,8.91,0.0,100.15,3.12,0
1.0,50911,1,1515331920,19.6,8.91,0.0,100.15,3.12,0
4.0,50914,1,1515332040,19.6,8.91,0.0,100.15,3.12,3
4.0,51547,2,1515332400,19.6,8.91,0.0,100.15,3.12,3
