YYYY,MM,DD,HR,Temperature,Humidity,Precipitation,Pressure,Windspeed
2018,5,1,0,2.87,4.27,0,98.85,1.43
2018,5,1,1,2.29,4.27,0,98.77,1.79
2018,5,1,2,1.82,4.27,0,98.71,2.09
2018,5,1,3,1.33,4.27,0,98.65,2.32
2018,5,1,4,0.85,4.27,0,98.6,2.57
2018,5,1,5,1.54,4.39,0,98.53,2.59
2018,5,1,6,3.82,4.7,0,98.49,3.05
2018,5,1,7,5.62,4.88,0,98.46,3.57
2018,5,1,8,7.73,5,0,98.43,4.76
2018,5,1,9,9.04,5.19,0,98.38,5.6
2018,5,1,10,9.87,5.25,0,98.32,6.61
2018,5,1,11,10.12,5.19,0,98.26,7.43
2018,5,1,12,9.83,5.13,0,98.21,8.02
2018,5,1,13,9.35,5.13,0.02,98.16,8.42
2018,5,1,14,8.77,5.25,0.08,98.12,8.75
2018,5,1,15,8.36,5.49,0.18,98.06,9.08
2018,5,1,16,8.08,5.68,0.2,98,9.32
2018,5,1,17,7.82,5.74,0.21,97.94,9.37
2018,5,1,18,7.41,5.8,0.28,97.9,8.99
2018,5,1,19,7.15,5.86,0.35,97.87,8.74
2018,5,1,20,7.05,5.92,0.47,97.84,8.47
2018,5,1,21,6.97,5.98,0.77,97.79,7.91
2018,5,1,22,6.85,5.98,1.08,97.75,7.37
2018,5,1,23,6.73,5.98,1.37,97.71,6.89
2018,5,2,0,6.58,5.92,1.56,97.65,6.35
2018,5,2,1,6.44,5.92,1.66,97.59,5.95
2018,5,2,2,6.26,5.86,1.6,97.53,5.49
2018,5,2,3,6.11,5.8,1.33,97.48,4.9
2018,5,2,4,5.94,5.74,1.09,97.44,3.94
2018,5,2,5,5.9,5.74,0.68,97.43,2.86
2018,5,2,6,6.17,5.74,0.52,97.46,3.02
2018,5,2,7,6.38,5.62,0.38,97.53,5.1
2018,5,2,8,6.94,5.43,0.07,97.62,7.09
2018,5,2,9,7.9,5.13,0.01,97.71,7.86
2018,5,2,10,8.94,4.94,0.01,97.8,7.33
2018,5,2,11,9.74,4.88,0.01,97.89,6.62
2018,5,2,12,9.97,4.82,0,97.97,6.54
2018,5,2,13,9.86,4.76,0.01,98.06,6.75
2018,5,2,14,9.62,4.76,0.01,98.14,6.9
2018,5,2,15,9.27,4.82,0.02,98.21,6.88
2018,5,2,16,8.77,5,0.03,98.3,6.79
2018,5,2,17,8.06,5.13,0.03,98.39,6.47
2018,5,2,18,7.24,5.19,0.03,98.48,6.11
2018,5,2,19,6.12,5.07,0.01,98.58,5.8
2018,5,2,20,5.15,4.94,0,98.69,5.69
2018,5,2,21,4.48,4.82,0,98.8,5.27
2018,5,2,22,4.05,4.76,0,98.88,5.24
2018,5,2,23,3.82,4.76,0,98.95,5.33
2018,5,3,0,3.32,4.76,0,99,4.75
2018,5,3,1,3.01,4.76,0,99.05,4.81
2018,5,3,2,2.8,4.76,0,99.09,4.86
2018,5,3,3,2.87,4.76,0,99.13,4.9
2018,5,3,4,3.09,4.82,0,99.18,4.97
2018,5,3,5,3.98,4.94,0,99.23,5.37
2018,5,3,6,5.3,5.25,0.01,99.29,5.86
2018,5,3,7,6.65,5.62,0.02,99.35,6.49
2018,5,3,8,7.74,5.92,0.02,99.41,7.23
2018,5,3,9,8.84,5.98,0.03,99.45,7.7
2018,5,3,10,9.86,5.98,0.03,99.48,7.76
2018,5,3,11,10.48,5.98,0.05,99.47,7.81
2018,5,3,12,10.96,6.04,0.08,99.48,8.13
2018,5,3,13,11.02,6.04,0.08,99.51,8.29
2018,5,3,14,10.93,6.04,0.07,99.47,8.41
2018,5,3,15,10.52,5.98,0.05,99.47,8.58
2018,5,3,16,9.87,5.98,0.03,99.48,8
2018,5,3,17,9.13,6.04,0.03,99.51,6.98
2018,5,3,18,8.56,6.16,0.04,99.54,6.34
2018,5,3,19,8.14,6.23,0.05,99.56,6.29
2018,5,3,20,8.01,6.29,0.05,99.59,6.61
2018,5,3,21,7.98,6.41,0.04,99.59,6.47
2018,5,3,22,8.01,6.47,0.04,99.59,6.19
2018,5,3,23,8.1,6.53,0.03,99.59,5.8
2018,5,4,0,8.26,6.65,0.02,99.6,5.54
2018,5,4,1,8.24,6.65,0.01,99.63,4.9
2018,5,4,2,8.08,6.59,0.01,99.69,4.6
2018,5,4,3,7.83,6.53,0.01,99.73,4.31
2018,5,4,4,7.61,6.41,0,99.76,4.46
2018,5,4,5,8.16,6.47,0,99.79,5.17
2018,5,4,6,8.81,6.65,0,99.82,5.54
2018,5,4,7,9.62,6.77,0,99.87,6.36
2018,5,4,8,10.48,6.9,0.01,99.91,6.92
2018,5,4,9,11.24,7.14,0.01,99.94,7.25
2018,5,4,10,11.84,7.39,0.01,99.99,7.42
2018,5,4,11,12.37,7.63,0.01,100.03,7.49
2018,5,4,12,12.62,7.75,0.01,100.06,7.52
2018,5,4,13,12.62,7.87,0.02,100.1,7.45
2018,5,4,14,12.45,7.87,0.01,100.13,7.13
2018,5,4,15,12.53,7.93,0.01,100.16,6.81
2018,5,4,16,12.65,8.06,0.01,100.19,6.4
2018,5,4,17,12.52,8.12,0.01,100.22,5.75
2018,5,4,18,12.23,8.12,0.02,100.24,5.41
2018,5,4,19,11.55,8,0.01,100.27,4.88
2018,5,4,20,10.83,7.75,0.01,100.33,4.68
2018,5,4,21,10.38,7.63,0.02,100.37,4.48
2018,5,4,22,9.93,7.45,0.02,100.39,4.02
2018,5,4,23,9.46,7.26,0.02,100.39,3.7
2018,5,5,0,8.88,7.02,0.01,100.38,3.64
2018,5,5,1,8.33,6.84,0.01,100.37,3.6
2018,5,5,2,8.03,6.71,0.01,100.35,3.66
2018,5,5,3,7.66,6.53,0.01,100.33,3.71
2018,5,5,4,7.71,6.47,0.02,100.34,4.19
2018,5,5,5,8.38,6.65,0.02,100.35,4.79
2018,5,5,6,9.23,6.9,0.02,100.37,4.75
2018,5,5,7,10.56,7.39,0.01,100.38,5.25
2018,5,5,8,11.93,7.81,0.02,100.4,6.11
2018,5,5,9,13.2,8.18,0.02,100.39,6.88
2018,5,5,10,14.13,8.42,0.01,100.39,7.32
2018,5,5,11,14.76,8.54,0.01,100.37,7.66
2018,5,5,12,15.1,8.61,0.01,100.36,7.9
2018,5,5,13,15.15,8.54,0.01,100.34,8.03
2018,5,5,14,14.91,8.54,0.01,100.33,8.06
2018,5,5,15,14.49,8.48,0.02,100.34,7.88
2018,5,5,16,14.02,8.42,0.03,100.34,7.25
2018,5,5,17,13.56,8.54,0.03,100.35,6.22
2018,5,5,18,12.99,8.54,0.03,100.38,5.38
2018,5,5,19,12.39,8.36,0.03,100.43,5.2
2018,5,5,20,11.33,8.06,0.01,100.5,4.47
2018,5,5,21,10.33,7.81,0.01,100.55,3.99
2018,5,5,22,9.58,7.51,0,100.59,3.63
2018,5,5,23,9.05,7.32,0,100.61,3.49
2018,5,6,0,8.64,7.08,0,100.6,3.27
2018,5,6,1,8.24,6.9,0,100.58,3.06
2018,5,6,2,7.69,6.65,0,100.55,2.93
2018,5,6,3,7.25,6.53,0,100.54,2.73
2018,5,6,4,7.09,6.41,0.01,100.55,2.44
2018,5,6,5,8.37,6.71,0.01,100.57,2.02
2018,5,6,6,9.38,6.9,0.01,100.58,1.94
2018,5,6,7,10.65,7.26,0.01,100.58,1.57
2018,5,6,8,12.26,7.51,0,100.58,2.28
2018,5,6,9,13.39,7.75,0,100.53,3.2
2018,5,6,10,14.78,8.12,0,100.47,4.12
2018,5,6,11,15.93,8.48,0,100.37,4.83
2018,5,6,12,16.48,8.79,0.02,100.26,5.26
2018,5,6,13,16.32,9.09,0.06,100.16,5.08
2018,5,6,14,16.4,9.4,0.06,100.08,5.01
2018,5,6,15,16.37,9.58,0.09,100,5
2018,5,6,16,16.44,9.7,0.05,99.96,5.51
2018,5,6,17,15.98,9.58,0.05,99.94,5.75
2018,5,6,18,15.05,9.22,0.02,99.97,5.36
2018,5,6,19,13.68,8.85,0.01,100.01,4.78
2018,5,6,20,12.49,8.48,0,100.05,4.05
2018,5,6,21,11.67,8.24,0,100.08,3.66
2018,5,6,22,10.73,8,0,100.1,3.19
2018,5,6,23,10.08,7.75,0,100.12,2.83
2018,5,7,0,9.64,7.51,0,100.14,2.53
2018,5,7,1,9.48,7.32,0,100.16,2.18
2018,5,7,2,9.48,7.14,0,100.18,1.85
2018,5,7,3,9.16,6.96,0,100.19,1.96
2018,5,7,4,8.8,6.84,0,100.19,2.51
2018,5,7,5,9.32,6.9,0,100.21,3.62
2018,5,7,6,9.79,6.9,0,100.23,5.32
2018,5,7,7,9.98,6.71,0,100.24,6.05
2018,5,7,8,9.82,6.59,0.02,100.22,6.19
